PARAMETRIC_CURVE_CARTESIAN_2D
Deltoid
t1: 0
t2: 6.28319
NumPoints: 101
0 8 0 
0.0628319 7.97634 0.000495611 
0.125664 7.90563 0.00395316 
0.188496 7.7887 0.0132762 
0.251327 7.62695 0.0312522 
0.314159 7.42226 0.0604975 
0.376991 7.17704 0.103404 
0.439823 6.89416 0.162091 
0.502655 6.57688 0.238359 
0.565487 6.22887 0.333653 
0.628319 5.8541 0.449028 
0.69115 5.45682 0.585121 
0.753982 5.04146 0.742135 
0.816814 4.61261 0.919821 
0.879646 4.17493 1.11748 
0.942478 3.73311 1.33395 
1.00531 3.29175 1.56766 
1.06814 2.85536 1.81657 
1.13097 2.42827 2.07828 
1.19381 2.01456 2.35001 
1.25664 1.61803 2.62866 
1.31947 1.24215 2.91083 
1.3823 0.889972 3.1929 
1.44513 0.564167 3.47108 
1.50796 0.266933 3.74144 
1.5708 -2.41961e-15 4 
1.63363 -0.235391 4.24277 
1.69646 -0.438499 4.46584 
1.75929 -0.609078 4.6654 
1.82212 -0.747373 4.83784 
1.88496 -0.854102 4.9798 
1.94779 -0.930435 5.0882 
2.01062 -0.977965 5.16033 
2.07345 -0.998668 5.19388 
2.13628 -0.994866 5.18697 
2.19911 -0.969175 5.13818 
2.26195 -0.924459 5.04663 
2.32478 -0.863769 4.91193 
2.38761 -0.790293 4.73424 
2.45044 -0.70729 4.51427 
2.51327 -0.618034 4.25325 
2.57611 -0.525753 3.95296 
2.63894 -0.433573 3.61567 
2.70177 -0.34446 3.24414 
2.7646 -0.261169 2.84159 
2.82743 -0.186192 2.41164 
2.89027 -0.121719 1.95827 
2.9531 -0.069596 1.48577 
3.01593 -0.0312925 0.998713 
3.07876 -0.00787751 0.501829 
3.14159 -0 -2.03366e-14 
3.20442 -0.00787751 -0.501829 
3.26726 -0.0312925 -0.998713 
3.33009 -0.069596 -1.48577 
3.39292 -0.121719 -1.95827 
3.45575 -0.186192 -2.41164 
3.51858 -0.261169 -2.84159 
3.58142 -0.34446 -3.24414 
3.64425 -0.433573 -3.61567 
3.70708 -0.525753 -3.95296 
3.76991 -0.618034 -4.25325 
3.83274 -0.70729 -4.51427 
3.89557 -0.790293 -4.73424 
3.95841 -0.863769 -4.91193 
4.02124 -0.924459 -5.04663 
4.08407 -0.969175 -5.13818 
4.1469 -0.994866 -5.18697 
4.20973 -0.998668 -5.19388 
4.27257 -0.977965 -5.16033 
4.3354 -0.930435 -5.0882 
4.39823 -0.854102 -4.9798 
4.46106 -0.747373 -4.83784 
4.52389 -0.609078 -4.6654 
4.58673 -0.438499 -4.46584 
4.64956 -0.235391 -4.24277 
4.71239 -7.34788e-16 -4 
4.77522 0.266933 -3.74144 
4.83805 0.564167 -3.47108 
4.90088 0.889972 -3.1929 
4.96372 1.24215 -2.91083 
5.02655 1.61803 -2.62866 
5.08938 2.01456 -2.35001 
5.15221 2.42827 -2.07828 
5.21504 2.85536 -1.81657 
5.27788 3.29175 -1.56766 
5.34071 3.73311 -1.33395 
5.40354 4.17493 -1.11748 
5.46637 4.61261 -0.919821 
5.5292 5.04146 -0.742135 
5.59203 5.45682 -0.585121 
5.65487 5.8541 -0.449028 
5.7177 6.22887 -0.333653 
5.78053 6.57688 -0.238359 
5.84336 6.89416 -0.162091 
5.90619 7.17704 -0.103404 
5.96903 7.42226 -0.0604975 
6.03186 7.62695 -0.0312522 
6.09469 7.7887 -0.0132762 
6.15752 7.90563 -0.00395316 
6.22035 7.97634 -0.000495611 
6.28319 8 -0 
