PARAMETRIC_CURVE_CARTESIAN_2D
Log spiral
t1: 0
t2: 20
NumPoints: 201
0 1 0 
0.1 0.927736 0.0930841 
0.2 0.852029 0.172715 
0.3 0.774381 0.239544 
0.4 0.696123 0.294316 
0.5 0.618422 0.337845 
0.6 0.542284 0.370997 
0.7 0.468563 0.394665 
0.8 0.397965 0.40976 
0.9 0.331064 0.417193 
1 0.268306 0.417862 
1.1 0.210021 0.412641 
1.2 0.156434 0.402371 
1.3 0.107675 0.387856 
1.4 0.0637906 0.36985 
1.5 0.0247536 0.349061 
1.6 -0.00952721 0.326141 
1.7 -0.0391972 0.301686 
1.8 -0.0644468 0.276236 
1.9 -0.0855027 0.250275 
2 -0.102621 0.22423 
2.1 -0.116077 0.198474 
2.2 -0.126164 0.173326 
2.3 -0.13318 0.149057 
2.4 -0.137431 0.125889 
2.5 -0.139218 0.103999 
2.6 -0.138838 0.0835245 
2.7 -0.13658 0.0645651 
2.8 -0.13272 0.0471859 
2.9 -0.127521 0.0314219 
3 -0.121231 0.0172811 
3.1 -0.114079 0.00474758 
3.2 -0.106277 -0.00621442 
3.3 -0.0980185 -0.015658 
3.4 -0.0894777 -0.0236505 
3.5 -0.0808102 -0.0302703 
3.6 -0.0721528 -0.035605 
3.7 -0.0636245 -0.0397483 
3.8 -0.0553268 -0.0427984 
3.9 -0.0473448 -0.0448556 
4 -0.0397481 -0.0460212 
4.1 -0.0325919 -0.0463954 
4.2 -0.025918 -0.0460765 
4.3 -0.0197561 -0.0451594 
4.4 -0.0141248 -0.0437349 
4.5 -0.00903305 -0.0418892 
4.6 -0.00448106 -0.039703 
4.7 -0.000461525 -0.037251 
4.8 0.0030393 -0.034602 
4.9 0.00604057 -0.0318186 
5 0.00856586 -0.028957 
5.1 0.0106423 -0.0260671 
5.2 0.0122997 -0.0231928 
5.3 0.0135697 -0.0203718 
5.4 0.0144854 -0.0176366 
5.5 0.0150803 -0.0150137 
5.6 0.0153881 -0.012525 
5.7 0.0154419 -0.0101875 
5.8 0.0152743 -0.00801393 
5.9 0.0149165 -0.00601301 
6 0.0143983 -0.00419 
6.1 0.0137478 -0.00254696 
6.2 0.0129914 -0.0010832 
6.3 0.0121535 0.000204376 
6.4 0.0112562 0.0013209 
6.5 0.0103198 0.00227322 
6.6 0.00936245 0.00306955 
6.7 0.00840015 0.00371923 
6.8 0.00744692 0.00423238 
6.9 0.00651481 0.00461972 
7 0.005614 0.00489231 
7.1 0.00475291 0.00506134 
7.2 0.00393831 0.00513801 
7.3 0.00317545 0.00513331 
7.4 0.00246815 0.00505793 
7.5 0.00181898 0.00492217 
7.6 0.00122935 0.00473579 
7.7 0.000699687 0.004508 
7.8 0.000229502 0.00424736 
7.9 -0.000182444 0.00396179 
8 -0.000538039 0.00365851 
8.1 -0.000839707 0.00334405 
8.2 -0.0010903 0.00302423 
8.3 -0.00129302 0.0027042 
8.4 -0.0014513 0.00238842 
8.5 -0.00156875 0.00208073 
8.6 -0.00164907 0.00178434 
8.7 -0.00169599 0.0015019 
8.8 -0.00171323 0.00123549 
8.9 -0.00170443 0.000986736 
9 -0.00167311 0.000756775 
9.1 -0.00162265 0.000546347 
9.2 -0.00155625 0.000355823 
9.3 -0.00147691 0.000185248 
9.4 -0.00138742 3.43846e-05 
9.5 -0.00129036 -9.72472e-05 
9.6 -0.00118806 -0.000210332 
9.7 -0.00108263 -0.000305722 
9.8 -0.000975937 -0.000384405 
9.9 -0.00086963 -0.000447471 
10 -0.000765134 -0.000496083 
10.1 -0.000663665 -0.000531456 
10.2 -0.000566236 -0.000554827 
