PARAMETRIC_CURVE_CARTESIAN_2D
Astroid
t1: 0
t2: 6.28319
NumPoints: 101
0 4 0 
0.0628319 3.97637 0.000990244 
0.125664 3.90612 0.00787515 
0.188496 3.79119 0.0263171 
0.251327 3.63472 0.0615226 
0.314159 3.44095 0.118034 
0.376991 3.21511 0.199547 
0.439823 2.96317 0.308755 
0.502655 2.69171 0.447234 
0.565487 2.40765 0.615366 
0.628319 2.11803 0.812299 
0.69115 1.82979 1.03597 
0.753982 1.54948 1.28313 
0.816814 1.28313 1.54948 
0.879646 1.03597 1.82979 
0.942478 0.812299 2.11803 
1.00531 0.615366 2.40765 
1.06814 0.447234 2.69171 
1.13097 0.308755 2.96317 
1.19381 0.199547 3.21511 
1.25664 0.118034 3.44095 
1.31947 0.0615226 3.63472 
1.3823 0.0263171 3.79119 
1.44513 0.00787515 3.90612 
1.50796 0.000990244 3.97637 
1.5708 -8.85348e-46 4 
1.63363 -0.000990244 3.97637 
1.69646 -0.00787515 3.90612 
1.75929 -0.0263171 3.79119 
1.82212 -0.0615226 3.63472 
1.88496 -0.118034 3.44095 
1.94779 -0.199547 3.21511 
2.01062 -0.308755 2.96317 
2.07345 -0.447234 2.69171 
2.13628 -0.615366 2.40765 
2.19911 -0.812299 2.11803 
2.26195 -1.03597 1.82979 
2.32478 -1.28313 1.54948 
2.38761 -1.54948 1.28313 
2.45044 -1.82979 1.03597 
2.51327 -2.11803 0.812299 
2.57611 -2.40765 0.615366 
2.63894 -2.69171 0.447234 
2.70177 -2.96317 0.308755 
2.7646 -3.21511 0.199547 
2.82743 -3.44095 0.118034 
2.89027 -3.63472 0.0615226 
2.9531 -3.79119 0.0263171 
3.01593 -3.90612 0.00787515 
3.07876 -3.97637 0.000990244 
3.14159 -4 -6.57087e-44 
3.20442 -3.97637 -0.000990244 
3.26726 -3.90612 -0.00787515 
3.33009 -3.79119 -0.0263171 
3.39292 -3.63472 -0.0615226 
3.45575 -3.44095 -0.118034 
3.51858 -3.21511 -0.199547 
3.58142 -2.96317 -0.308755 
3.64425 -2.69171 -0.447234 
3.70708 -2.40765 -0.615366 
3.76991 -2.11803 -0.812299 
3.83274 -1.82979 -1.03597 
3.89557 -1.54948 -1.28313 
3.95841 -1.28313 -1.54948 
4.02124 -1.03597 -1.82979 
4.08407 -0.812299 -2.11803 
4.1469 -0.615366 -2.40765 
4.20973 -0.447234 -2.69171 
4.27257 -0.308755 -2.96317 
4.3354 -0.199547 -3.21511 
4.39823 -0.118034 -3.44095 
4.46106 -0.0615226 -3.63472 
4.52389 -0.0263171 -3.79119 
4.58673 -0.00787515 -3.90612 
4.64956 -0.000990244 -3.97637 
4.71239 -2.47951e-47 -4 
4.77522 0.000990244 -3.97637 
4.83805 0.00787515 -3.90612 
4.90088 0.0263171 -3.79119 
4.96372 0.0615226 -3.63472 
5.02655 0.118034 -3.44095 
5.08938 0.199547 -3.21511 
5.15221 0.308755 -2.96317 
5.21504 0.447234 -2.69171 
5.27788 0.615366 -2.40765 
5.34071 0.812299 -2.11803 
5.40354 1.03597 -1.82979 
5.46637 1.28313 -1.54948 
5.5292 1.54948 -1.28313 
5.59203 1.82979 -1.03597 
5.65487 2.11803 -0.812299 
5.7177 2.40765 -0.615366 
5.78053 2.69171 -0.447234 
5.84336 2.96317 -0.308755 
5.90619 3.21511 -0.199547 
5.96903 3.44095 -0.118034 
6.03186 3.63472 -0.0615226 
6.09469 3.79119 -0.0263171 
6.15752 3.90612 -0.00787515 
6.22035 3.97637 -0.000990244 
6.28319 4 -3.04091e-42 
