PARAMETRIC_CURVE_CARTESIAN_2D
Astroid
t1: 0
t2: 6.28319
NumPoints: 101
0 7 0 
0.0628319 6.95864 0.00173293 
0.125664 6.83571 0.0137815 
0.188496 6.63458 0.046055 
0.251327 6.36076 0.107664 
0.314159 6.02167 0.206559 
0.376991 5.62644 0.349207 
0.439823 5.18555 0.540321 
0.502655 4.71049 0.78266 
0.565487 4.21339 1.07689 
0.628319 3.70656 1.42152 
0.69115 3.20213 1.81294 
0.753982 2.71159 2.24547 
0.816814 2.24547 2.71159 
0.879646 1.81294 3.20213 
0.942478 1.42152 3.70656 
1.00531 1.07689 4.21339 
1.06814 0.78266 4.71049 
1.13097 0.540321 5.18555 
1.19381 0.349207 5.62644 
1.25664 0.206559 6.02167 
1.31947 0.107664 6.36076 
1.3823 0.046055 6.63458 
1.44513 0.0137815 6.83571 
1.50796 0.00173293 6.95864 
1.5708 -1.54936e-45 7 
1.63363 -0.00173293 6.95864 
1.69646 -0.0137815 6.83571 
1.75929 -0.046055 6.63458 
1.82212 -0.107664 6.36076 
1.88496 -0.206559 6.02167 
1.94779 -0.349207 5.62644 
2.01062 -0.540321 5.18555 
2.07345 -0.78266 4.71049 
2.13628 -1.07689 4.21339 
2.19911 -1.42152 3.70656 
2.26195 -1.81294 3.20213 
2.32478 -2.24547 2.71159 
2.38761 -2.71159 2.24547 
2.45044 -3.20213 1.81294 
2.51327 -3.70656 1.42152 
2.57611 -4.21339 1.07689 
2.63894 -4.71049 0.78266 
2.70177 -5.18555 0.540321 
2.7646 -5.62644 0.349207 
2.82743 -6.02167 0.206559 
2.89027 -6.36076 0.107664 
2.9531 -6.63458 0.046055 
3.01593 -6.83571 0.0137815 
3.07876 -6.95864 0.00173293 
3.14159 -7 -1.1499e-43 
3.20442 -6.95864 -0.00173293 
3.26726 -6.83571 -0.0137815 
3.33009 -6.63458 -0.046055 
3.39292 -6.36076 -0.107664 
3.45575 -6.02167 -0.206559 
3.51858 -5.62644 -0.349207 
3.58142 -5.18555 -0.540321 
3.64425 -4.71049 -0.78266 
3.70708 -4.21339 -1.07689 
3.76991 -3.70656 -1.42152 
3.83274 -3.20213 -1.81294 
3.89557 -2.71159 -2.24547 
3.95841 -2.24547 -2.71159 
4.02124 -1.81294 -3.20213 
4.08407 -1.42152 -3.70656 
4.1469 -1.07689 -4.21339 
4.20973 -0.78266 -4.71049 
4.27257 -0.540321 -5.18555 
4.3354 -0.349207 -5.62644 
4.39823 -0.206559 -6.02167 
4.46106 -0.107664 -6.36076 
4.52389 -0.046055 -6.63458 
4.58673 -0.0137815 -6.83571 
4.64956 -0.00173293 -6.95864 
4.71239 -4.33915e-47 -7 
4.77522 0.00173293 -6.95864 
4.83805 0.0137815 -6.83571 
4.90088 0.046055 -6.63458 
4.96372 0.107664 -6.36076 
5.02655 0.206559 -6.02167 
5.08938 0.349207 -5.62644 
5.15221 0.540321 -5.18555 
5.21504 0.78266 -4.71049 
5.27788 1.07689 -4.21339 
5.34071 1.42152 -3.70656 
5.40354 1.81294 -3.20213 
5.46637 2.24547 -2.71159 
5.5292 2.71159 -2.24547 
5.59203 3.20213 -1.81294 
5.65487 3.70656 -1.42152 
5.7177 4.21339 -1.07689 
5.78053 4.71049 -0.78266 
5.84336 5.18555 -0.540321 
5.90619 5.62644 -0.349207 
5.96903 6.02167 -0.206559 
6.03186 6.36076 -0.107664 
6.09469 6.63458 -0.046055 
6.15752 6.83571 -0.0137815 
6.22035 6.95864 -0.00173293 
6.28319 7 -5.32159e-42 
